track_id,artist_id
1,1
2,2
3,3
3,4
4,5
5,6
6,7
7,8
7,9
8,10
9,10
9,11
10,12
11,13
12,10
13,14
14,15
15,6
15,16
16,17
17,18
17,19
18,18
18,19
19,10
19,11
20,20
20,21
21,10
22,20
22,22
23,8
23,9
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,6
34,23
34,24
35,23
35,24
36,23
36,24
37,25
38,23
39,23
40,25
41,26
42,23
43,23
43,27
44,23
44,27
45,23
46,23
46,27
47,23
47,27
48,23
48,27
49,23
49,27
50,23
50,27
51,28
52,29
53,30
54,31
55,32
56,30
57,33
58,6
59,34
60,6
61,13
62,30
63,35
64,20
64,21
65,36
66,37
67,38
68,34
69,30
70,39
71,31
72,40
73,30
74,41
75,3
76,10
77,8
78,26
78,42
79,43
80,10
81,44
82,44
83,26
84,44
85,44
86,26
87,34
88,25
89,25
90,40
91,45
92,45
93,25
94,45
95,45
96,45
97,45
98,45
99,25
100,25
101,29
102,46
103,30
104,20
104,47
105,20
106,44
106,48
107,49
108,50
109,51
110,39
111,20
112,30
113,2
114,52
115,53
116,20
117,18
117,19
118,5
119,10
120,54
120,55
121,56
122,57
123,58
124,12
125,59
126,2
127,60
128,61
129,62
130,63
131,64
132,64
133,10
134,10
135,10
136,26
137,44
138,25
139,10
140,10
141,10
142,59
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,26
151,65
151,66
152,39
152,67
152,5
153,60
154,68
154,69
155,51
156,20
156,70
157,6
158,40
159,30
160,63
161,71
162,72
163,10
164,73
165,8
165,9
166,64
167,13
167,74
168,75
169,72
170,34
171,18
171,19
172,76
173,39
173,77
173,78
174,79
174,80
175,81
176,20
176,82
177,23
178,59
179,5
180,72
181,83
181,84
182,20
183,10
184,63
185,64
186,85
187,6
188,59
189,86
190,87
191,12
192,58
193,88
194,89
195,8
196,26
197,90
197,91
197,92
198,93
199,94
200,95
200,96
201,29
202,97
203,98
204,5
205,99
205,100
205,101
206,102
207,37
208,13
209,33
210,20
211,103
212,45
213,60
214,3
215,13
215,104
216,17
217,105
218,13
219,103
220,2
221,30
222,103
223,13
224,106
225,18
225,19
226,39
226,77
226,78
227,8
228,13
229,87
229,107
230,54
231,108
232,36
233,37
234,59
235,54
236,106
237,20
237,109
238,58
239,43
240,54
241,110
242,20
243,10
243,111
244,112
245,34
246,113
247,114
248,115
249,116
250,116
251,50
252,50
253,32
254,29
255,117
256,103
257,102
258,20
258,118
259,13
260,20
261,97
262,10
263,119
264,38
265,120
266,121
267,64
268,5
269,72
270,37
271,18
271,19
272,20
273,18
273,19
274,5
275,121
276,122
277,86
278,123
279,124
280,5
281,125
282,6
283,126
284,5
284,127
285,18
285,19
286,58
287,64
288,128
289,129
290,130
291,131
291,132
292,61
293,90
293,91
293,92
294,61
295,133
296,54
297,26
298,134
299,112
300,54
301,46
302,63
303,50
304,135
305,20
305,136
306,137
306,138
307,33
308,139
309,39
309,140
310,103
311,141
311,142
312,51
313,2
314,5
315,143
316,18
317,12
318,103
318,144
319,145
320,20
321,13
322,146
323,13
323,147
324,148
325,149
326,6
327,45
328,146
329,13
330,13
331,150
332,8
333,3
333,151
334,152
335,30
336,85
337,59
338,85
339,58
340,153
341,130
342,154
343,155
344,156
345,40
346,157
347,158
348,159
349,159
350,159
351,103
352,76
352,5
353,103
354,160
355,5
356,161
357,162
358,10
359,163
360,121
361,63
362,106
363,164
364,165
365,166
366,167
366,168
367,103
367,169
368,143
369,146
370,170
371,2
372,89
373,171
374,20
375,172
376,146
377,20
378,37
379,173
380,146
381,59
382,3
383,174
384,3
385,20
385,5
386,20
387,30
388,146
389,175
390,155
390,176
391,175
392,146
393,146
394,8
395,177
396,23
397,178
398,158
399,115
400,115
401,179
402,180
403,160
404,97
405,20
405,47
406,164
407,1
408,181
409,182
409,183
410,20
411,184
412,5
413,20
414,50
415,164
416,37
417,6
418,185
419,186
420,187
421,168
422,106
423,61
424,64
425,188
426,189
427,20
428,44
429,86
430,146
431,190
431,191
432,8
432,9
433,149
434,31
435,192
436,146
437,141
438,72
439,89
440,26
441,193
442,149
442,194
443,158
444,134
445,54
446,178
447,112
447,195
448,157
449,188
450,115
451,28
452,160
453,117
454,196
455,64
456,62
457,197
458,198
459,63
460,199
461,41
462,44
463,13
464,41
465,198
466,58
467,5
467,127
468,18
468,19
469,35
470,106
471,175
472,44
473,200
474,44
475,106
476,43
477,64
478,20
478,108
478,142
479,201
480,202
481,45
482,26
483,203
